Member_number,Date,itemDescription,year,month,day,day_of_week,first,second,third,fourth,Item
3904,24-09-2014,newspapers,2014,9,24,2,newspapers,,,,
1493,22-10-2014,uht-milk,2014,10,22,2,uht-milk,,,,
1840,10-07-2014,brown bread,2014,7,10,3,brown,bread,,,brownbread
4178,10-05-2014,domestic eggs,2014,5,10,5,domestic,eggs,,,domesticeggs
2165,27-10-2014,oil,2014,10,27,0,oil,,,,
4618,01-11-2014,other vegetables,2014,11,1,5,other,vegetables,,,othervegetables
2093,16-02-2014,waffles,2014,2,16,6,waffles,,,,
2215,21-03-2014,whole milk,2014,3,21,4,whole,milk,,,wholemilk
4779,29-01-2014,pip fruit,2014,1,29,2,pip,fruit,,,pipfruit
1939,02-02-2014,whipped/sour cream,2014,2,2,6,whipped/sour,cream,,,whipped/sourcream
4852,02-11-2014,citrus fruit,2014,11,2,6,citrus,fruit,,,citrusfruit
1173,18-04-2014,margarine,2014,4,18,4,margarine,,,,
4232,06-10-2014,processed cheese,2014,10,6,0,processed,cheese,,,processedcheese
1870,15-07-2014,baking powder,2014,7,15,1,baking,powder,,,bakingpowder
2683,04-04-2014,candles,2014,4,4,4,candles,,,,
2837,26-06-2014,bottled water,2014,6,26,3,bottled,water,,,bottledwater
4364,24-09-2014,baking powder,2014,9,24,2,baking,powder,,,bakingpowder
1842,11-03-2014,butter milk,2014,3,11,1,butter,milk,,,buttermilk
2036,27-08-2014,onions,2014,8,27,2,onions,,,,
1235,14-06-2014,bottled beer,2014,6,14,5,bottled,beer,,,bottledbeer
1935,17-07-2014,margarine,2014,7,17,3,margarine,,,,
3480,18-04-2014,bottled water,2014,4,18,4,bottled,water,,,bottledwater
2881,03-06-2014,margarine,2014,6,3,1,margarine,,,,
1237,16-10-2014,sugar,2014,10,16,3,sugar,,,,
1755,19-01-2014,soda,2014,1,19,6,soda,,,,
4830,23-12-2014,dish cleaner,2014,12,23,1,dish,cleaner,,,dishcleaner
2162,25-05-2014,dog food,2014,5,25,6,dog,food,,,dogfood
1453,21-11-2014,margarine,2014,11,21,4,margarine,,,,
2139,13-04-2014,soda,2014,4,13,6,soda,,,,
3987,31-08-2014,yogurt,2014,8,31,6,yogurt,,,,
3027,14-10-2014,berries,2014,10,14,1,berries,,,,
1241,01-11-2014,specialty cheese,2014,11,1,5,specialty,cheese,,,specialtycheese
1018,15-04-2014,domestic eggs,2014,4,15,1,domestic,eggs,,,domesticeggs
1390,09-04-2014,frozen meals,2014,4,9,2,frozen,meals,,,frozenmeals
1646,15-11-2014,sparkling wine,2014,11,15,5,sparkling,wine,,,sparklingwine
1053,12-10-2014,whole milk,2014,10,12,6,whole,milk,,,wholemilk
1566,28-06-2014,curd,2014,6,28,5,curd,,,,
4390,15-11-2014,beverages,2014,11,15,5,beverages,,,,
4779,24-06-2014,sauces,2014,6,24,1,sauces,,,,
4294,22-07-2014,ice cream,2014,7,22,1,ice,cream,,,icecream
2939,11-02-2014,grapes,2014,2,11,1,grapes,,,,
1465,26-09-2014,yogurt,2014,9,26,4,yogurt,,,,
1934,14-06-2014,root vegetables,2014,6,14,5,root,vegetables,,,rootvegetables
2946,14-09-2014,whipped/sour cream,2014,9,14,6,whipped/sour,cream,,,whipped/sourcream
3643,26-09-2014,pastry,2014,9,26,4,pastry,,,,
3722,08-01-2014,whole milk,2014,1,8,2,whole,milk,,,wholemilk
4515,16-04-2014,tropical fruit,2014,4,16,2,tropical,fruit,,,tropicalfruit
4572,27-06-2014,roll products ,2014,6,27,4,roll,products,,,rollproducts
4398,17-08-2014,salty snack,2014,8,17,6,salty,snack,,,saltysnack
3369,24-01-2014,rolls/buns,2014,1,24,4,rolls/buns,,,,
1738,10-01-2014,rolls/buns,2014,1,10,4,rolls/buns,,,,
1283,22-05-2014,bottled water,2014,5,22,3,bottled,water,,,bottledwater
1116,27-09-2014,soda,2014,9,27,5,soda,,,,
4136,16-03-2014,frozen dessert,2014,3,16,6,frozen,dessert,,,frozendessert
1066,15-05-2014,other vegetables,2014,5,15,3,other,vegetables,,,othervegetables
2234,13-04-2014,pastry,2014,4,13,6,pastry,,,,
1509,07-09-2014,yogurt,2014,9,7,6,yogurt,,,,
4985,31-05-2014,dessert,2014,5,31,5,dessert,,,,
4989,08-11-2014,butter,2014,11,8,5,butter,,,,
3482,24-07-2014,domestic eggs,2014,7,24,3,domestic,eggs,,,domesticeggs
3220,01-02-2014,salty snack,2014,2,1,5,salty,snack,,,saltysnack
1594,28-05-2014,yogurt,2014,5,28,2,yogurt,,,,
4739,12-04-2014,soda,2014,4,12,5,soda,,,,
2107,30-12-2014,newspapers,2014,12,30,1,newspapers,,,,
2543,18-11-2014,soda,2014,11,18,1,soda,,,,
3652,15-11-2014,frozen vegetables,2014,11,15,5,frozen,vegetables,,,frozenvegetables
2164,02-05-2014,ice cream,2014,5,2,4,ice,cream,,,icecream
4420,27-10-2014,frozen potato products,2014,10,27,0,frozen,potato,products,,frozenpotato
1333,15-07-2014,bottled water,2014,7,15,1,bottled,water,,,bottledwater
1055,08-05-2014,white wine,2014,5,8,3,white,wine,,,whitewine
2792,28-07-2014,bottled beer,2014,7,28,0,bottled,beer,,,bottledbeer
2139,02-10-2014,margarine,2014,10,2,3,margarine,,,,
4174,18-10-2014,rolls/buns,2014,10,18,5,rolls/buns,,,,
1073,21-03-2014,salt,2014,3,21,4,salt,,,,
3115,18-07-2014,shopping bags,2014,7,18,4,shopping,bags,,,shoppingbags
4243,15-01-2014,sugar,2014,1,15,2,sugar,,,,
2515,12-12-2014,bottled beer,2014,12,12,4,bottled,beer,,,bottledbeer
4214,07-10-2014,domestic eggs,2014,10,7,1,domestic,eggs,,,domesticeggs
4093,09-08-2014,herbs,2014,8,9,5,herbs,,,,
1317,19-05-2014,rolls/buns,2014,5,19,0,rolls/buns,,,,
4061,05-03-2014,canned beer,2014,3,5,2,canned,beer,,,cannedbeer
1087,12-11-2014,berries,2014,11,12,2,berries,,,,
4709,03-09-2014,root vegetables,2014,9,3,2,root,vegetables,,,rootvegetables
3670,05-08-2014,chocolate,2014,8,5,1,chocolate,,,,
3713,22-01-2014,root vegetables,2014,1,22,2,root,vegetables,,,rootvegetables
4897,14-09-2014,other vegetables,2014,9,14,6,other,vegetables,,,othervegetables
1361,12-07-2014,pastry,2014,7,12,5,pastry,,,,
4939,17-09-2014,brown bread,2014,9,17,2,brown,bread,,,brownbread
4150,17-08-2014,cream cheese ,2014,8,17,6,cream,cheese,,,creamcheese
4368,20-02-2014,whole milk,2014,2,20,3,whole,milk,,,wholemilk
4933,28-11-2014,domestic eggs,2014,11,28,4,domestic,eggs,,,domesticeggs
1160,02-04-2014,whole milk,2014,4,2,2,whole,milk,,,wholemilk
2330,10-08-2014,sugar,2014,8,10,6,sugar,,,,
3945,25-01-2014,rolls/buns,2014,1,25,5,rolls/buns,,,,
1237,25-01-2014,hard cheese,2014,1,25,5,hard,cheese,,,hardcheese
4302,26-11-2014,misc. beverages,2014,11,26,2,misc.,beverages,,,misc.beverages
4020,12-01-2014,frozen potato products,2014,1,12,6,frozen,potato,products,,frozenpotato
1084,18-04-2014,other vegetables,2014,4,18,4,other,vegetables,,,othervegetables
1047,17-12-2014,soda,2014,12,17,2,soda,,,,
1574,03-04-2014,newspapers,2014,4,3,3,newspapers,,,,
4074,14-11-2014,yogurt,2014,11,14,4,yogurt,,,,
1955,22-06-2014,cereals,2014,6,22,6,cereals,,,,
1622,24-06-2014,salty snack,2014,6,24,1,salty,snack,,,saltysnack
1267,15-05-2014,whole milk,2014,5,15,3,whole,milk,,,wholemilk
3253,26-06-2014,whipped/sour cream,2014,6,26,3,whipped/sour,cream,,,whipped/sourcream
2332,16-01-2014,soft cheese,2014,1,16,3,soft,cheese,,,softcheese
3181,25-04-2014,bottled beer,2014,4,25,4,bottled,beer,,,bottledbeer
4374,18-08-2014,cream,2014,8,18,0,cream,,,,
4194,25-12-2014,fruit/vegetable juice,2014,12,25,3,fruit/vegetable,juice,,,fruit/vegetablejuice
4098,09-12-2014,soda,2014,12,9,1,soda,,,,
3808,28-03-2014,other vegetables,2014,3,28,4,other,vegetables,,,othervegetables
3014,20-12-2014,root vegetables,2014,12,20,5,root,vegetables,,,rootvegetables
1094,03-11-2014,brown bread,2014,11,3,0,brown,bread,,,brownbread
4349,29-01-2014,hamburger meat,2014,1,29,2,hamburger,meat,,,hamburgermeat
1557,12-10-2014,chocolate,2014,10,12,6,chocolate,,,,
4213,28-04-2014,seasonal products,2014,4,28,0,seasonal,products,,,seasonalproducts
2559,07-07-2014,rolls/buns,2014,7,7,0,rolls/buns,,,,
1312,13-12-2014,butter,2014,12,13,5,butter,,,,
3426,21-10-2014,yogurt,2014,10,21,1,yogurt,,,,
1648,31-10-2014,whole milk,2014,10,31,4,whole,milk,,,wholemilk
2617,16-11-2014,rolls/buns,2014,11,16,6,rolls/buns,,,,
4297,08-04-2014,cat food,2014,4,8,1,cat,food,,,catfood
2406,25-09-2014,yogurt,2014,9,25,3,yogurt,,,,
3030,19-11-2014,packaged fruit/vegetables,2014,11,19,2,packaged,fruit/vegetables,,,packagedfruit/vegetables
2662,08-03-2014,pickled vegetables,2014,3,8,5,pickled,vegetables,,,pickledvegetables
3835,25-04-2014,seasonal products,2014,4,25,4,seasonal,products,,,seasonalproducts
4633,13-02-2014,specialty chocolate,2014,2,13,3,specialty,chocolate,,,specialtychocolate
3970,11-02-2014,processed cheese,2014,2,11,1,processed,cheese,,,processedcheese
1723,09-02-2014,sweet spreads,2014,2,9,6,sweet,spreads,,,sweetspreads
2893,11-02-2014,white wine,2014,2,11,1,white,wine,,,whitewine
4223,15-06-2014,newspapers,2014,6,15,6,newspapers,,,,
2221,21-06-2014,yogurt,2014,6,21,5,yogurt,,,,
1257,19-05-2014,cream cheese ,2014,5,19,0,cream,cheese,,,creamcheese
3825,27-01-2014,shopping bags,2014,1,27,0,shopping,bags,,,shoppingbags
2613,24-05-2014,yogurt,2014,5,24,5,yogurt,,,,
3498,07-01-2014,root vegetables,2014,1,7,1,root,vegetables,,,rootvegetables
4258,24-06-2014,frozen meals,2014,6,24,1,frozen,meals,,,frozenmeals
3081,14-04-2014,soda,2014,4,14,0,soda,,,,
3965,16-10-2014,domestic eggs,2014,10,16,3,domestic,eggs,,,domesticeggs
4850,26-03-2014,pastry,2014,3,26,2,pastry,,,,
3437,25-04-2014,canned vegetables,2014,4,25,4,canned,vegetables,,,cannedvegetables
1573,20-04-2014,butter,2014,4,20,6,butter,,,,
1169,05-02-2014,margarine,2014,2,5,2,margarine,,,,
4987,27-07-2014,onions,2014,7,27,6,onions,,,,
3011,16-08-2014,salty snack,2014,8,16,5,salty,snack,,,saltysnack
2522,26-05-2014,soda,2014,5,26,0,soda,,,,
4801,10-03-2014,dishes,2014,3,10,0,dishes,,,,
1509,28-05-2014,domestic eggs,2014,5,28,2,domestic,eggs,,,domesticeggs
1889,11-01-2014,soups,2014,1,11,5,soups,,,,
2450,29-11-2014,citrus fruit,2014,11,29,5,citrus,fruit,,,citrusfruit
1807,20-08-2014,popcorn,2014,8,20,2,popcorn,,,,
4720,14-08-2014,oil,2014,8,14,3,oil,,,,
1310,13-04-2014,salty snack,2014,4,13,6,salty,snack,,,saltysnack
1339,01-03-2014,margarine,2014,3,1,5,margarine,,,,
1256,11-07-2014,domestic eggs,2014,7,11,4,domestic,eggs,,,domesticeggs
4601,02-10-2014,specialty chocolate,2014,10,2,3,specialty,chocolate,,,specialtychocolate
1800,30-08-2014,white wine,2014,8,30,5,white,wine,,,whitewine
4679,23-01-2014,potato products,2014,1,23,3,potato,products,,,potatoproducts
1650,27-06-2014,misc. beverages,2014,6,27,4,misc.,beverages,,,misc.beverages
2360,26-07-2014,canned beer,2014,7,26,5,canned,beer,,,cannedbeer
2874,09-09-2015,other vegetables,2015,9,9,2,other,vegetables,,,othervegetables
3556,30-09-2015,shopping bags,2015,9,30,2,shopping,bags,,,shoppingbags
3255,24-05-2015,ice cream,2015,5,24,6,ice,cream,,,icecream
2521,14-12-2015,yogurt,2015,12,14,0,yogurt,,,,
3220,14-10-2015,misc. beverages,2015,10,14,2,misc.,beverages,,,misc.beverages
1381,03-06-2015,salty snack,2015,6,3,2,salty,snack,,,saltysnack
4050,07-06-2015,flower (seeds),2015,6,7,6,flower,(seeds),,,flower(seeds)
1872,29-01-2015,yogurt,2015,1,29,3,yogurt,,,,
4127,04-11-2015,domestic eggs,2015,11,4,2,domestic,eggs,,,domesticeggs
2833,14-08-2015,other vegetables,2015,8,14,4,other,vegetables,,,othervegetables
2357,23-09-2015,cream cheese ,2015,9,23,2,cream,cheese,,,creamcheese
2654,03-03-2015,cat food,2015,3,3,1,cat,food,,,catfood
4852,28-04-2015,fruit/vegetable juice,2015,4,28,1,fruit/vegetable,juice,,,fruit/vegetablejuice
2222,21-07-2015,newspapers,2015,7,21,1,newspapers,,,,
2340,07-12-2015,yogurt,2015,12,7,0,yogurt,,,,
1987,15-10-2015,domestic eggs,2015,10,15,3,domestic,eggs,,,domesticeggs
3570,09-02-2015,bottled water,2015,2,9,0,bottled,water,,,bottledwater
1320,19-01-2015,canned fruit,2015,1,19,0,canned,fruit,,,cannedfruit
2209,20-07-2015,tidbits,2015,7,20,0,tidbits,,,,
2500,30-03-2015,waffles,2015,3,30,0,waffles,,,,
3315,09-12-2015,coffee,2015,12,9,2,coffee,,,,
2548,16-11-2015,dental care,2015,11,16,0,dental,care,,,dentalcare
4473,09-07-2015,sparkling wine,2015,7,9,3,sparkling,wine,,,sparklingwine
2271,16-06-2015,bottled water,2015,6,16,1,bottled,water,,,bottledwater
4336,10-10-2015,snack products,2015,10,10,5,snack,products,,,snackproducts
2763,02-01-2015,canned fish,2015,1,2,4,canned,fish,,,cannedfish
2780,10-11-2015,other vegetables,2015,11,10,1,other,vegetables,,,othervegetables
2632,16-01-2015,fruit/vegetable juice,2015,1,16,4,fruit/vegetable,juice,,,fruit/vegetablejuice
2568,20-08-2015,frozen vegetables,2015,8,20,3,frozen,vegetables,,,frozenvegetables
1729,23-07-2015,waffles,2015,7,23,3,waffles,,,,
3878,28-07-2015,pastry,2015,7,28,1,pastry,,,,
1225,26-03-2015,other vegetables,2015,3,26,3,other,vegetables,,,othervegetables
1924,17-11-2015,packaged fruit/vegetables,2015,11,17,1,packaged,fruit/vegetables,,,packagedfruit/vegetables
4335,06-10-2015,napkins,2015,10,6,1,napkins,,,,
3182,03-12-2015,curd,2015,12,3,3,curd,,,,
4303,23-08-2015,shopping bags,2015,8,23,6,shopping,bags,,,shoppingbags
3042,10-02-2015,bottled beer,2015,2,10,1,bottled,beer,,,bottledbeer
4493,29-10-2015,other vegetables,2015,10,29,3,other,vegetables,,,othervegetables
4194,02-07-2015,hygiene articles,2015,7,2,3,hygiene,articles,,,hygienearticles
3031,18-12-2015,soda,2015,12,18,4,soda,,,,
3891,07-03-2015,hard cheese,2015,3,7,5,hard,cheese,,,hardcheese
1062,16-04-2015,long life bakery product,2015,4,16,3,long,life,bakery,product,longlife
2469,23-03-2015,whole milk,2015,3,23,0,whole,milk,,,wholemilk
3719,09-03-2015,misc. beverages,2015,3,9,0,misc.,beverages,,,misc.beverages
3322,02-11-2015,bottled beer,2015,11,2,0,bottled,beer,,,bottledbeer
1336,03-10-2015,napkins,2015,10,3,5,napkins,,,,
1067,20-07-2015,chocolate,2015,7,20,0,chocolate,,,,
1998,15-05-2015,chewing gum,2015,5,15,4,chewing,gum,,,chewinggum
1076,14-10-2015,coffee,2015,10,14,2,coffee,,,,
1992,08-02-2015,white bread,2015,2,8,6,white,bread,,,whitebread
1261,21-05-2015,flour,2015,5,21,3,flour,,,,
4409,15-01-2015,ice cream,2015,1,15,3,ice,cream,,,icecream
3031,30-08-2015,bottled beer,2015,8,30,6,bottled,beer,,,bottledbeer
2129,18-03-2015,fruit/vegetable juice,2015,3,18,2,fruit/vegetable,juice,,,fruit/vegetablejuice
1684,01-03-2015,oil,2015,3,1,6,oil,,,,
4240,18-09-2015,brown bread,2015,9,18,4,brown,bread,,,brownbread
2750,14-09-2015,onions,2015,9,14,0,onions,,,,
1379,13-07-2015,butter milk,2015,7,13,0,butter,milk,,,buttermilk
4243,22-08-2015,specialty cheese,2015,8,22,5,specialty,cheese,,,specialtycheese
2469,01-12-2015,pasta,2015,12,1,1,pasta,,,,
2346,17-09-2015,coffee,2015,9,17,3,coffee,,,,
2366,18-08-2015,uht-milk,2015,8,18,1,uht-milk,,,,
2374,23-06-2015,whole milk,2015,6,23,1,whole,milk,,,wholemilk
1721,15-10-2015,margarine,2015,10,15,3,margarine,,,,
2877,04-10-2015,root vegetables,2015,10,4,6,root,vegetables,,,rootvegetables
3848,10-11-2015,whole milk,2015,11,10,1,whole,milk,,,wholemilk
4344,03-01-2015,soda,2015,1,3,5,soda,,,,
3475,06-10-2015,misc. beverages,2015,10,6,1,misc.,beverages,,,misc.beverages
3650,17-07-2015,white bread,2015,7,17,4,white,bread,,,whitebread
2318,16-01-2015,whipped/sour cream,2015,1,16,4,whipped/sour,cream,,,whipped/sourcream
1776,03-02-2015,yogurt,2015,2,3,1,yogurt,,,,
3120,07-07-2015,pastry,2015,7,7,1,pastry,,,,
1194,13-05-2015,pastry,2015,5,13,2,pastry,,,,
2089,17-04-2015,brown bread,2015,4,17,4,brown,bread,,,brownbread
2095,04-06-2015,rolls/buns,2015,6,4,3,rolls/buns,,,,
1736,29-08-2015,whole milk,2015,8,29,5,whole,milk,,,wholemilk
3718,07-12-2015,processed cheese,2015,12,7,0,processed,cheese,,,processedcheese
4950,22-04-2015,margarine,2015,4,22,2,margarine,,,,
2481,24-11-2015,rice,2015,11,24,1,rice,,,,
1296,11-06-2015,beverages,2015,6,11,3,beverages,,,,
2824,12-07-2015,chewing gum,2015,7,12,6,chewing,gum,,,chewinggum
4852,29-06-2015,pasta,2015,6,29,0,pasta,,,,
1648,27-02-2015,rolls/buns,2015,2,27,4,rolls/buns,,,,
3307,10-06-2015,chocolate,2015,6,10,2,chocolate,,,,
4259,24-06-2015,shopping bags,2015,6,24,2,shopping,bags,,,shoppingbags
2587,06-02-2015,uht-milk,2015,2,6,4,uht-milk,,,,
4303,04-08-2015,cream cheese ,2015,8,4,1,cream,cheese,,,creamcheese
1325,26-05-2015,mustard,2015,5,26,1,mustard,,,,
3351,14-10-2015,other vegetables,2015,10,14,2,other,vegetables,,,othervegetables
1623,18-01-2015,roll products ,2015,1,18,6,roll,products,,,rollproducts
3119,20-02-2015,liquor,2015,2,20,4,liquor,,,,
1211,24-05-2015,specialty bar,2015,5,24,6,specialty,bar,,,specialtybar
4146,02-09-2015,rolls/buns,2015,9,2,2,rolls/buns,,,,
1753,26-02-2015,butter milk,2015,2,26,3,butter,milk,,,buttermilk
4664,26-05-2015,waffles,2015,5,26,1,waffles,,,,
3827,11-03-2015,curd,2015,3,11,2,curd,,,,
1098,27-09-2015,cat food,2015,9,27,6,cat,food,,,catfood
4338,27-08-2015,flour,2015,8,27,3,flour,,,,
3712,20-12-2015,yogurt,2015,12,20,6,yogurt,,,,
1505,27-10-2015,potato products,2015,10,27,1,potato,products,,,potatoproducts
4478,08-02-2015,domestic eggs,2015,2,8,6,domestic,eggs,,,domesticeggs
4150,23-08-2015,dessert,2015,8,23,6,dessert,,,,
1118,25-12-2015,pastry,2015,12,25,4,pastry,,,,
2537,05-07-2015,candy,2015,7,5,6,candy,,,,
1996,05-10-2015,flower (seeds),2015,10,5,0,flower,(seeds),,,flower(seeds)
4267,13-09-2015,yogurt,2015,9,13,6,yogurt,,,,
4424,16-10-2015,hygiene articles,2015,10,16,4,hygiene,articles,,,hygienearticles
1948,05-06-2015,frozen vegetables,2015,6,5,4,frozen,vegetables,,,frozenvegetables
3495,02-01-2015,oil,2015,1,2,4,oil,,,,
2327,18-03-2015,margarine,2015,3,18,2,margarine,,,,
3356,01-12-2015,butter,2015,12,1,1,butter,,,,
3926,23-03-2015,sliced cheese,2015,3,23,0,sliced,cheese,,,slicedcheese
4105,12-03-2015,condensed milk,2015,3,12,3,condensed,milk,,,condensedmilk
1884,08-05-2015,uht-milk,2015,5,8,4,uht-milk,,,,
4799,02-09-2015,pasta,2015,9,2,2,pasta,,,,
4915,18-09-2015,domestic eggs,2015,9,18,4,domestic,eggs,,,domesticeggs
2643,12-01-2015,fruit/vegetable juice,2015,1,12,0,fruit/vegetable,juice,,,fruit/vegetablejuice
3927,09-03-2015,pastry,2015,3,9,0,pastry,,,,
2410,18-11-2015,soft cheese,2015,11,18,2,soft,cheese,,,softcheese
1855,28-04-2015,whipped/sour cream,2015,4,28,1,whipped/sour,cream,,,whipped/sourcream
1245,03-02-2015,shopping bags,2015,2,3,1,shopping,bags,,,shoppingbags
3138,19-04-2015,salty snack,2015,4,19,6,salty,snack,,,saltysnack
1178,19-04-2015,salt,2015,4,19,6,salt,,,,
1870,09-05-2015,sliced cheese,2015,5,9,5,sliced,cheese,,,slicedcheese
4660,07-10-2015,pastry,2015,10,7,2,pastry,,,,
3241,08-09-2015,rolls/buns,2015,9,8,1,rolls/buns,,,,
4661,18-04-2015,rolls/buns,2015,4,18,5,rolls/buns,,,,
2407,03-10-2015,coffee,2015,10,3,5,coffee,,,,
2440,19-06-2015,waffles,2015,6,19,4,waffles,,,,
4634,15-05-2015,soda,2015,5,15,4,soda,,,,
4112,14-02-2015,canned beer,2015,2,14,5,canned,beer,,,cannedbeer
2428,21-08-2015,rolls/buns,2015,8,21,4,rolls/buns,,,,
3604,14-03-2015,whole milk,2015,3,14,5,whole,milk,,,wholemilk
3671,08-03-2015,onions,2015,3,8,6,onions,,,,
2880,19-06-2015,margarine,2015,6,19,4,margarine,,,,
3946,19-06-2015,napkins,2015,6,19,4,napkins,,,,
4495,20-06-2015,butter milk,2015,6,20,5,butter,milk,,,buttermilk
3355,12-02-2015,newspapers,2015,2,12,3,newspapers,,,,
3959,27-05-2015,dishes,2015,5,27,2,dishes,,,,
1583,23-11-2015,brown bread,2015,11,23,0,brown,bread,,,brownbread
3998,28-03-2015,rolls/buns,2015,3,28,5,rolls/buns,,,,
4509,29-11-2015,sliced cheese,2015,11,29,6,sliced,cheese,,,slicedcheese
1008,10-03-2015,dessert,2015,3,10,1,dessert,,,,
4894,23-12-2015,chocolate,2015,12,23,2,chocolate,,,,
4252,04-10-2015,frozen dessert,2015,10,4,6,frozen,dessert,,,frozendessert
3428,16-03-2015,frozen meals,2015,3,16,0,frozen,meals,,,frozenmeals
1988,09-08-2015,bottled water,2015,8,9,6,bottled,water,,,bottledwater
4662,19-10-2015,butter milk,2015,10,19,0,butter,milk,,,buttermilk
3165,27-11-2015,rolls/buns,2015,11,27,4,rolls/buns,,,,
1920,16-02-2015,flour,2015,2,16,0,flour,,,,
4157,01-04-2015,whole milk,2015,4,1,2,whole,milk,,,wholemilk
1945,30-04-2015,other vegetables,2015,4,30,3,other,vegetables,,,othervegetables
4104,27-07-2015,sugar,2015,7,27,0,sugar,,,,
2865,14-05-2015,frozen meals,2015,5,14,3,frozen,meals,,,frozenmeals
4788,28-04-2015,soda,2015,4,28,1,soda,,,,
1903,25-01-2015,ketchup,2015,1,25,6,ketchup,,,,
3578,16-05-2015,citrus fruit,2015,5,16,5,citrus,fruit,,,citrusfruit
2238,12-06-2015,yogurt,2015,6,12,4,yogurt,,,,
3671,10-11-2015,shopping bags,2015,11,10,1,shopping,bags,,,shoppingbags
3088,12-03-2015,yogurt,2015,3,12,3,yogurt,,,,
1832,17-04-2015,flour,2015,4,17,4,flour,,,,
4785,13-09-2015,shopping bags,2015,9,13,6,shopping,bags,,,shoppingbags
1322,19-10-2015,hygiene articles,2015,10,19,0,hygiene,articles,,,hygienearticles
4439,18-03-2015,artif. sweetener,2015,3,18,2,artif.,sweetener,,,artif.sweetener
1698,26-06-2015,shopping bags,2015,6,26,4,shopping,bags,,,shoppingbags
3558,25-04-2015,brown bread,2015,4,25,5,brown,bread,,,brownbread
3026,01-01-2015,bottled water,2015,1,1,3,bottled,water,,,bottledwater
1127,15-10-2015,uht-milk,2015,10,15,3,uht-milk,,,,
4153,02-05-2015,brown bread,2015,5,2,5,brown,bread,,,brownbread
4258,22-04-2015,hygiene articles,2015,4,22,2,hygiene,articles,,,hygienearticles
2582,14-11-2015,cat food,2015,11,14,5,cat,food,,,catfood
1466,12-01-2015,seasonal products,2015,1,12,0,seasonal,products,,,seasonalproducts
4185,16-01-2015,rolls/buns,2015,1,16,4,rolls/buns,,,,
1889,02-09-2015,candles,2015,9,2,2,candles,,,,
3396,14-05-2015,sparkling wine,2015,5,14,3,sparkling,wine,,,sparklingwine
3412,26-01-2015,oil,2015,1,26,0,oil,,,,
3321,13-07-2015,white wine,2015,7,13,0,white,wine,,,whitewine
3484,21-11-2015,brandy,2015,11,21,5,brandy,,,,
1937,17-10-2015,whipped/sour cream,2015,10,17,5,whipped/sour,cream,,,whipped/sourcream
2101,20-12-2015,canned beer,2015,12,20,6,canned,beer,,,cannedbeer
4006,18-12-2015,other vegetables,2015,12,18,4,other,vegetables,,,othervegetables
3732,18-07-2015,pastry,2015,7,18,5,pastry,,,,
1276,28-04-2015,bottled beer,2015,4,28,1,bottled,beer,,,bottledbeer
4916,03-01-2015,detergent,2015,1,3,5,detergent,,,,
2040,04-06-2015,candy,2015,6,4,3,candy,,,,
2255,05-01-2015,oil,2015,1,5,0,oil,,,,
1239,25-07-2015,bottled water,2015,7,25,5,bottled,water,,,bottledwater
4992,20-06-2015,sparkling wine,2015,6,20,5,sparkling,wine,,,sparklingwine
3225,06-12-2015,soda,2015,12,6,6,soda,,,,
2421,21-11-2015,long life bakery product,2015,11,21,5,long,life,bakery,product,longlife
3303,25-01-2015,whole milk,2015,1,25,6,whole,milk,,,wholemilk
3455,13-09-2015,margarine,2015,9,13,6,margarine,,,,
1484,10-07-2015,soft cheese,2015,7,10,4,soft,cheese,,,softcheese
3591,05-11-2015,dental care,2015,11,5,3,dental,care,,,dentalcare
4613,17-05-2015,shopping bags,2015,5,17,6,shopping,bags,,,shoppingbags
1676,10-11-2015,dishes,2015,11,10,1,dishes,,,,
1259,21-11-2015,napkins,2015,11,21,5,napkins,,,,
3930,07-12-2015,soft cheese,2015,12,7,0,soft,cheese,,,softcheese
3995,26-06-2015,brown bread,2015,6,26,4,brown,bread,,,brownbread
1038,14-12-2015,cake bar,2015,12,14,0,cake,bar,,,cakebar
4794,09-06-2015,other vegetables,2015,6,9,1,other,vegetables,,,othervegetables
3960,21-09-2015,specialty bar,2015,9,21,0,specialty,bar,,,specialtybar
3077,01-05-2015,shopping bags,2015,5,1,4,shopping,bags,,,shoppingbags
1161,14-03-2015,spread cheese,2015,3,14,5,spread,cheese,,,spreadcheese
1800,16-04-2015,hygiene articles,2015,4,16,3,hygiene,articles,,,hygienearticles
1717,11-09-2015,margarine,2015,9,11,4,margarine,,,,
1888,06-06-2015,butter milk,2015,6,6,5,butter,milk,,,buttermilk
2138,03-04-2015,shopping bags,2015,4,3,4,shopping,bags,,,shoppingbags
1866,13-02-2015,baking powder,2015,2,13,4,baking,powder,,,bakingpowder
4745,29-09-2015,shopping bags,2015,9,29,1,shopping,bags,,,shoppingbags
1269,09-12-2015,butter milk,2015,12,9,2,butter,milk,,,buttermilk
4721,15-06-2015,spices,2015,6,15,0,spices,,,,
2885,22-03-2015,sliced cheese,2015,3,22,6,sliced,cheese,,,slicedcheese
1435,24-04-2015,rolls/buns,2015,4,24,4,rolls/buns,,,,
1887,02-03-2015,whipped/sour cream,2015,3,2,0,whipped/sour,cream,,,whipped/sourcream
4776,26-03-2015,candy,2015,3,26,3,candy,,,,
4313,16-05-2015,bottled beer,2015,5,16,5,bottled,beer,,,bottledbeer
3545,28-08-2015,whole milk,2015,8,28,4,whole,milk,,,wholemilk
